company_code,source_type,publish_date,title,content,processed
603922,announcement,2026-01-31,[603922] 金鸿顺 业绩预告,预计2025年1-12月扣除非经常性损益后的净利润盈利:240万元至360万元。,True
603900,announcement,2026-01-31,[603900] 莱绅通灵 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利约:5,800万元。",True
603887,announcement,2026-01-31,[603887] 城地香江 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:3,920万元至5,880万元。",True
603880,announcement,2026-01-31,[603880] 南卫股份 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:8,000万元。",True
603869,announcement,2026-01-31,[603869] ST智知 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,905万元至3,900万元,同比上年增长:40.06%至88.04%,同比上年增长830.93万元至1,825.93万元。",True
603843,announcement,2026-01-31,[603843] *ST正平 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:34,000万元至43,000万元。",True
603838,announcement,2026-01-31,[603838] *ST四通 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:6,600万元至8,400万元。",True
603828,announcement,2026-01-31,[603828] ST柯利达 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:16,000万元至20,000万元,同比上年降低16,900万元至20,900万元。",True
603826,announcement,2026-01-31,[603826] 坤彩科技 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:6,500万元至8,500万元。",True
603822,announcement,2026-01-31,[603822] ST嘉澳 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:3,000万元至6,000万元,同比上年增长39,800万元至42,800万元。",True
603813,announcement,2026-01-31,[603813] *ST原尚 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:5,800万元至6,900万元。",True
603789,announcement,2026-01-31,[603789] *ST星农 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:9,000万元至13,500万元。",True
603737,announcement,2026-01-31,[603737] 三棵树 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:76,000万元至96,000万元,同比上年增长:128.96%至189.21%,同比上年增长42,806万元至62,806万元。",True
603729,announcement,2026-01-31,[603729] 龙韵股份 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:8,000万元至11,000万元。",True
603718,announcement,2026-01-31,[603718] 海利生物 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:39,000万元至40,000万元。",True
603711,announcement,2026-01-31,[603711] 香飘飘 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:7,700万元至9,500万元,同比上年下降:56.42%至64.68%,同比上年降低12,300万元至14,100万元。",True
